doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
86741337	1008	2	5	41237	362/4392/19	"2019-12-28 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кравченко Л. М."	http://od.reyestr.court.gov.ua/files/43/5845cbf875f0252c3dc8ec9062710a33.rtf	1	"2020-01-03 00:00:00+02"
86745093	0617	5	2	40456	286/1/20	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кулініч Я. В."	http://od.reyestr.court.gov.ua/files/43/db5c80e645f3ed60d2bb63c60759933b.rtf	1	"2020-01-03 00:00:00+02"
86745119	0617	5	2	40471	286/15/20	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кулініч Я. В."	http://od.reyestr.court.gov.ua/files/43/a8349ca6b1563f214ceea3e14ca7bd2e.rtf	1	"2020-01-03 00:00:00+02"
86741021	1013	5	2	40905	367/1493/18	"2019-12-27 00:00:00+02"	"2020-01-02 00:00:00+02"	"Кафтанов В. В."	http://od.reyestr.court.gov.ua/files/43/397395f72264471823be435ac017de1d.rtf	1	"2020-01-03 00:00:00+02"
86745212	1003	5	2	40722	357/1204/19	"2019-12-16 00:00:00+02"	"2020-01-02 00:00:00+02"	"Шовкопляс О. П."	http://od.reyestr.court.gov.ua/files/43/547d94ca1982fcd54243fe62f61f2a70.rtf	1	"2020-01-03 00:00:00+02"
86745042	0609	5	2	40576	296/7476/19	"2019-10-16 00:00:00+03"	"2020-01-02 00:00:00+02"	"Покатілов О. Б."	http://od.reyestr.court.gov.ua/files/43/c8e8dfff503d8d9a6c1ae863a54eef92.rtf	1	"2020-01-03 00:00:00+02"
86745050	0609	5	2	40733	296/8583/19	"2019-09-23 00:00:00+03"	"2020-01-02 00:00:00+02"	"Покатілов О. Б."	http://od.reyestr.court.gov.ua/files/43/92c00e2cf2fdcc729859821ec7e15d43.rtf	1	"2020-01-03 00:00:00+02"
86745173	0623	5	2	40915	292/337/18	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"Рябенька Т. С."	http://od.reyestr.court.gov.ua/files/43/3bd0681d2616194ca481e6a4318a1c6c.rtf	1	"2020-01-03 00:00:00+02"
86745474	1012	3	1	40376	366/2984/19	"2019-12-16 00:00:00+02"	"2020-01-02 00:00:00+02"	"Ткаченко Ю. В."	http://od.reyestr.court.gov.ua/files/43/e1a38c7ec5faddeb0530f277c261892e.rtf	1	"2020-01-03 00:00:00+02"
86743657	1670	5	4	40148	440/5168/19	"2020-01-02 00:00:00+02"	"2020-01-02 00:00:00+02"	"А.Б. Головко"	http://od.reyestr.court.gov.ua/files/43/786846ac4693ae7df52062606bd017fc.rtf	1	"2020-01-03 00:00:00+02"
